output/relaxation/relaxation_2017-11-07T15:58:08.532
FILTERING RESULT
.................................................................
cut = cut use in the model
n = name
mCp = Cp Makespan
diCP = Cp domains Initial Size
drCP = Cp domains Reduced Size
zLP = Lp objective
zMP = Mips objective
dbLP = Lp domais Reduced size, edge only
drMP = Mips domains Reduced Size, edge only
drLP = Lp domains Reduced Size
arc = arc coherence domains Reduction

.................................................................
[   cut,          n,  mCp, diCP, drCP,  zLP,  zMP, dbLP, drMp, drLP,  arc]
[    AB, report_1.t,    0,    4,    0,    1,    1,    0,    0,    0,    0]
[      , report_2.t,    4,    5,    2,    0,    0,    2,    2,    2,    2]
[     A, report_2.t,    4,    5,    2,    0,    0,    2,    2,    2,    2]
[     B, report_2.t,    4,    5,    2,    0,    0,    2,    2,    2,    2]
[    AB, report_2.t,    4,    5,    2,    0,    0,    2,    2,    2,    2]
[      , test_1.txt,   14,   39,   25,    0,    0,   24,   25,    9,   11]
[     A, test_1.txt,   14,   39,   25,    0,    0,   24,   25,    9,   11]
[     B, test_1.txt,   14,   39,   25,    0,    0,   24,   25,    9,   11]
[    AB, test_1.txt,   14,   39,   25,    0,    0,   24,   25,    9,   11]
[      , test_2.txt,   30,  100,   42,    0,    0,   36,   42,   16,   17]
[     A, test_2.txt,   30,  100,   42,    0,    0,   36,   42,   16,   17]
[     B, test_2.txt,   30,  100,   42,    0,    0,   36,   42,   16,   17]
[    AB, test_2.txt,   30,  100,   42,    0,    0,   36,   42,   16,   17]
[      , test_3.txt,   34,   89,   15,    0,    0,   14,   15,   12,   13]
[     A, test_3.txt,   34,   89,   15,    0,    0,   14,   15,   12,   13]
[     B, test_3.txt,   34,   89,   15,    0,    0,   14,   15,   12,   13]
[    AB, test_3.txt,   34,   89,   15,    0,    0,   14,   15,   12,   13]
[      , test_4.txt,    0,   99,    0,    1,    1,    0,    0,    0,    0]
[     A, test_4.txt,    0,   99,    0,    1,    1,    0,    0,    0,    0]
[     B, test_4.txt,    0,   99,    0,    1,    1,    0,    0,    0,    0]
[    AB, test_4.txt,    0,   99,    0,    1,    1,    0,    0,    0,    0]
[      , test_5.txt,   11,  100,   82,    0,    0,   82,   82,   82,   82]
[     A, test_5.txt,   11,  100,   82,    0,    0,   82,   82,   82,   82]
[     B, test_5.txt,   11,  100,   82,    0,    0,   82,   82,   82,   82]
[    AB, test_5.txt,   11,  100,   82,    0,    0,   82,   82,   82,   82]
[      , test_6.txt,    3,    4,    2,    0,    0,    2,    2,    2,    2]
[     A, test_6.txt,    3,    4,    2,    0,    0,    2,    2,    2,    2]
[     B, test_6.txt,    3,    4,    2,    0,    0,    2,    2,    2,    2]
[    AB, test_6.txt,    3,    4,    2,    0,    0,    2,    2,    2,    2]
[      , vilim_edge,   19,   39,   10,    0,    0,   10,   10,    6,    6]
[     A, vilim_edge,   19,   39,   10,    0,    0,   10,   10,    6,    6]
[     B, vilim_edge,   19,   39,   10,    0,    0,   10,   10,    6,    6]
[    AB, vilim_edge,   19,   39,   10,    0,    0,   10,   10,    6,    6]
[      , vilim_notf,   23,   50,    3,    0,    0,    3,    3,    3,    3]
[     A, vilim_notf,   23,   50,    3,    0,    0,    3,    3,    3,    3]
[     B, vilim_notf,   23,   50,    3,    0,    0,    3,    3,    3,    3]
[    AB, vilim_notf,   23,   50,    3,    0,    0,    3,    3,    3,    3]
[      , vilim_over,    0,   26,    0,    1,    1,    0,    0,    0,    0]
[     A, vilim_over,    0,   26,    0,    1,    1,    0,    0,    0,    0]
[     B, vilim_over,    0,   26,    0,    1,    1,    0,    0,    0,    0]
[    AB, vilim_over,    0,   26,    0,    1,    1,    0,    0,    0,    0]
[      , vilim_prec,   12,   30,    3,    0,    0,    3,    3,    3,    3]
[     A, vilim_prec,   12,   30,    3,    0,    0,    3,    3,    3,    3]
[     B, vilim_prec,   12,   30,    3,    0,    0,    3,    3,    3,    3]
[    AB, vilim_prec,   12,   30,    3,    0,    0,    3,    3,    3,    3]
